iter	RMSE
0	3947430.273
1	3497480.639
2	3213553.543
3	3052564.63
4	2926185.038
5	2867305.342
6	2804482.463
7	2775438.711
8	2741612.277
9	2700706.592
10	2658554.197
11	2636247.575
12	2616008.297
13	2607064.342
14	2592640.822
15	2580169.394
16	2574554.344
17	2561169.929
18	2547236.876
19	2532479.406
20	2518491.109
21	2509694.527
22	2495686.643
23	2488551.03
24	2476318.706
25	2467338.532
26	2451044.29
27	2439158.363
28	2425698.594
29	2416249.434
30	2398963.736
31	2387686.432
32	2378746.873
33	2371056.489
34	2359404.607
35	2350598.776
36	2340240.522
37	2337391.863
38	2327299.872
39	2324559.356
40	2315796.23
41	2311569.42
42	2309426.951
43	2308750.662
44	2297243.35
45	2288093.578
46	2275109.009
47	2274155.86
48	2266823.362
49	2257240.954
50	2245256.851
51	2239639.172
52	2234187.535
53	2227748.071
54	2223393.091
55	2216408.854
56	2209135.253
57	2202392.222
58	2195185.01
59	2190070.814
60	2180094.359
61	2172544.453
62	2166997.912
63	2162590.851
64	2157827.625
65	2148051.017
66	2141022.603
67	2140636.013
68	2135484.594
69	2128990.594
70	2122923.551
71	2122121.88
72	2115599.316
73	2112388.185
74	2109999.373
75	2102235.228
76	2099955.491
77	2093688.63
78	2090162.267
79	2084359.433
80	2080006.114
81	2074928.724
82	2067445.461
83	2064281.073
84	2064113.544
85	2062687.443
86	2058154.038
87	2054452.196
88	2050427.851
89	2045427.844
90	2040984.325
91	2036595.981
92	2034668.23
93	2027267.92
94	2018963.067
95	2014559.458
96	2013332.483
97	2011789.497
98	2008295.696
99	2008194.064
