iter	Passed	Remaining
0	30	3048
1	50	2467
2	70	2268
3	89	2151
4	112	2128
5	132	2081
6	155	2062
7	175	2023
8	197	1992
9	218	1966
10	239	1936
11	266	1951
12	286	1914
13	308	1893
14	328	1859
15	348	1831
16	369	1802
17	390	1780
18	411	1754
19	433	1732
20	452	1703
21	473	1678
22	499	1671
23	520	1648
24	540	1620
25	558	1588
26	578	1564
27	598	1538
28	618	1514
29	639	1491
30	661	1473
31	682	1450
32	705	1432
33	729	1416
34	749	1392
35	771	1371
36	791	1347
37	810	1322
38	831	1301
39	850	1275
40	872	1255
41	893	1233
42	916	1214
43	938	1194
44	964	1178
45	985	1157
46	1005	1133
47	1026	1111
48	1049	1092
49	1068	1068
50	1089	1046
51	1111	1025
52	1132	1004
53	1152	981
54	1174	960
55	1201	943
56	1221	921
57	1242	899
58	1262	877
59	1283	855
60	1304	834
61	1323	811
62	1343	789
63	1364	767
64	1385	745
65	1403	723
66	1429	704
67	1450	682
68	1471	661
69	1490	638
70	1511	617
71	1530	595
72	1547	572
73	1569	551
74	1589	529
75	1611	509
76	1631	487
77	1656	467
78	1676	445
79	1696	424
80	1717	402
81	1738	381
82	1758	360
83	1778	338
84	1798	317
85	1818	296
86	1839	274
87	1861	253
88	1887	233
89	1907	211
90	1930	190
91	1949	169
92	1970	148
93	1989	126
94	2010	105
95	2033	84
96	2053	63
97	2075	42
98	2103	21
99	2135	0
